Film,Audience score %,Profitability,Rotten Tomatoes %,Worldwide Gross,Year,Genre_Action,Genre_Animation,Genre_Comedy,Genre_Drama,Genre_Fantasy,Genre_Romance,Genre_Unknown,Lead Studio_20th Century Fox,Lead Studio_CBS,Lead Studio_Disney,Lead Studio_Fox,Lead Studio_Independent,Lead Studio_Lionsgate,Lead Studio_New Line,Lead Studio_Paramount,Lead Studio_Sony,Lead Studio_Summit,Lead Studio_The Weinstein Company,Lead Studio_Universal,Lead Studio_Unknown,Lead Studio_Warner Bros.,Decade_2000s,Decade_2010s,isIndependent_Independent,isIndependent_Major Studio,Critic-Audience Gap Rating_Favored by audience,Critic-Audience Gap Rating_Favored by critics,ROI_Category_Low,ROI_Category_Medium,ROI_Category_High
Zack and Miri Make a Porno,70.0,1.747541667,64.0,41.94,2008,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,True,False,True,False,False
Youth in Revolt,52.0,1.09,68.0,19.62,2010,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,True,True,False,False
You Will Meet a Tall Dark Stranger,35.0,1.211818182,43.0,26.66,2010,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,True,False,False
When in Rome,44.0,0.0,15.0,43.04,2010,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,True,False,False
What Happens in Vegas,72.0,6.267647029,28.0,219.37,2008,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,True
Water For Elephants,72.0,3.081421053,60.0,117.09,2011,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,True,False
WALL-E,89.0,2.896019067,96.0,521.28,2008,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,True,False
Waitress,67.0,11.0897415,89.0,22.18,2007,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,True
Waiting For Forever,53.0,0.005,6.0,0.03,2011,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,True,False,False
Valentine's Day,54.0,4.184038462,17.0,217.57,2010,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,True,False,False,False,True
Tyler Perry's Why Did I get Married,47.0,3.7241924,46.0,55.86,2007,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,True
Twilight: Breaking Dawn,68.0,6.383363636,26.0,702.17,2011,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,True
Twilight,82.0,10.18002703,49.0,376.66,2008,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,True,False,False,False,True
